country_old,threshold,area,extent_2000,extent_2010,gain_2000-2020,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,tree_cover_2000,carbon_stocks_2000,avg_carbon_stocks_2000,carbon_emissions_yr,carbon_removals_yr,net_flux_yr,emissions_2001,emissions_2002,emissions_2003,emissions_2004,emissions_2005,emissions_2006,emissions_2007,emissions_2008,emissions_2009,emissions_2010,emissions_2011,emissions_2012,emissions_2013,emissions_2014,emissions_2015,emissions_2016,emissions_2017,emissions_2018,emissions_2019,emissions_2020,emissions_2021,emissions_2022,emissions_2023,subnational1,iso,loss__year,tree_cover_loss,tree_cover_loss_from_fires,country
Algeria,75,230804377,496666,221058,89152,1191,1358,1783,1810,1847,2428,2465,3767,5235,1341,4996,5738,2427,3373,2224,3219,22665,2356,2263,5234,7981,5372,10111,496666,31043119,63,1457807.0,2005058.0,-547250.0,342943.0,385945.0,539911.0,568814.0,561416.0,730911.0,747520.0,1151702.0,1595761.0,412921.0,1557207.0,1784293.0,798031.0,1060654.0,790716.0,1135180.0,7253048.0,854891.0,738343.0,1731770.0,2975483.0,1529213.0,4282897.0,,CAN,2001.0,1358154.799,520947.7121,Algeria
Andorra,30,45196,19004,18962,120,2,1,0,23,2,7,2,5,3,1,1,8,3,1,2,1,3,15,8,27,2,15,6,19004,1556611,82,2764.0,93635.0,-90871.0,567.0,507.0,122.0,7672.0,878.0,2600.0,961.0,2693.0,1182.0,572.0,372.0,3504.0,1550.0,608.0,974.0,243.0,1683.0,7354.0,3397.0,14347.0,1189.0,7569.0,3032.0,,COD,2001.0,455516.739,7540.415647,Andorra
Andorra,50,45196,16889,16179,120,2,1,0,20,2,7,2,5,3,1,1,8,3,1,2,0,3,14,7,26,2,14,6,16889,1459385,86,2664.0,83187.0,-80523.0,541.0,495.0,110.0,7167.0,840.0,2571.0,914.0,2635.0,1121.0,572.0,358.0,3460.0,1534.0,564.0,875.0,186.0,1642.0,7198.0,3206.0,13962.0,1171.0,7169.0,2992.0,,COG,2001.0,27030.69622,680.6041946,Andorra
Andorra,75,45196,13314,12963,120,1,1,0,14,1,3,2,5,2,1,1,6,3,1,1,0,3,11,6,24,2,12,5,13314,1249918,94,2304.0,65533.0,-63229.0,462.0,430.0,42.0,5739.0,532.0,1411.0,783.0,2542.0,758.0,480.0,283.0,3036.0,1515.0,545.0,605.0,138.0,1453.0,6193.0,2839.0,13090.0,1123.0,6322.0,2667.0,,COL,2001.0,230054.8357,9995.102972,Andorra
Angola,30,124742298,55292492,53847201,1224126,101221,61034,52462,71274,93435,76940,145287,103582,165948,159806,182928,180755,168841,212662,161719,229710,280456,242552,175098,248028,298294,266942,268336,55292492,2881046254,52,59427204.0,170958567.0,-111531363.0,37479551.0,20299187.0,16510730.0,21297164.0,27125713.0,22472252.0,47912641.0,30940896.0,52441021.0,51990750.0,56908264.0,58267923.0,56388842.0,72321788.0,56697345.0,80398974.0,95471792.0,88134037.0,62429965.0,85475100.0,119034042.0,102752465.0,104075245.0,,CYM,2001.0,20.6816122,0.362984597,Angola
Angola,50,124742298,31917530,29980806,1224126,76820,43061,35582,43422,53063,48241,88808,56013,92730,111802,100568,113042,99292,135584,102506,137072,159388,146256,101978,133793,190583,158427,160397,31917530,2123773126,67,43877753.0,101641863.0,-57764111.0,32798818.0,16818837.0,13431499.0,15626554.0,19249755.0,16467144.0,36023511.0,21101203.0,36245026.0,41624324.0,38414891.0,42802871.0,40545017.0,54869020.0,43346496.0,58633033.0,66556975.0,65362438.0,44994309.0,57548353.0,93180283.0,76310576.0,77237376.0,,CYP,2001.0,78.62890207,41.24433561,Angola
Angola,75,124742298,3783229,3335977,1224126,33919,12841,10509,7283,8737,4941,26871,9833,17251,18618,13063,19846,24412,30716,24278,33374,31640,37025,25262,24775,55699,34478,37235,3783229,420626761,111,14896192.0,21279685.0,-6383493.0,19705028.0,7444853.0,6049419.0,4171690.0,4995130.0,2741415.0,15676514.0,5706439.0,10194502.0,10625589.0,7583861.0,11587702.0,14370061.0,17296950.0,14323946.0,19708463.0,18978454.0,22493831.0,15320951.0,15688086.0,40295537.0,28170356.0,29483631.0,,CZE,2001.0,3460.142586,75.6086082,Angola
Anguilla,30,8332,2126,1391,70,4,0,1,9,4,1,9,10,2,0,1,2,1,0,0,0,1,0,0,0,2,0,0,2126,70874,33,440.0,8332.0,-7893.0,650.0,30.0,181.0,1647.0,715.0,259.0,1729.0,2249.0,403.0,97.0,208.0,424.0,299.0,94.0,0.0,0.0,399.0,84.0,0.0,47.0,531.0,63.0,0.0,,ECU,2001.0,45002.46871,3394.187427,Anguilla
Anguilla,50,8332,1372,686,70,2,0,0,5,2,0,5,7,1,0,1,1,1,0,0,0,1,0,0,0,1,0,0,1372,47362,35,261.0,5584.0,-5323.0,280.0,30.0,27.0,937.0,389.0,88.0,1053.0,1468.0,235.0,35.0,122.0,294.0,212.0,76.0,0.0,0.0,254.0,84.0,0.0,47.0,314.0,63.0,0.0,,EGY,2001.0,147.7649427,17.00225301,Anguilla
Anguilla,75,8332,507,205,70,1,0,0,1,1,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,507,19034,38,115.0,2349.0,-2235.0,107.0,0.0,15.0,250.0,179.0,15.0,488.0,583.0,89.0,21.0,49.0,92.0,94.0,14.0,0.0,0.0,161.0,84.0,0.0,24.0,314.0,63.0,0.0,,ERI,2001.0,2.529524333,0.892756149,Anguilla
