country_old,threshold,area,extent_2000,extent_2010,gain_2000-2020,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,tree_cover_2000,carbon_stocks_2000,avg_carbon_stocks_2000,carbon_emissions_yr,carbon_removals_yr,net_flux_yr,emissions_2001,emissions_2002,emissions_2003,emissions_2004,emissions_2005,emissions_2006,emissions_2007,emissions_2008,emissions_2009,emissions_2010,emissions_2011,emissions_2012,emissions_2013,emissions_2014,emissions_2015,emissions_2016,emissions_2017,emissions_2018,emissions_2019,emissions_2020,emissions_2021,emissions_2022,emissions_2023,subnational1,iso,loss__year,tree_cover_loss,tree_cover_loss_from_fires,country
Albania,75,261413,44073,22542,1631,496,70,58,605,47,89,509,449,120,41,66,771,374,68,9,48,74,189,82,60,35,20,84,44073,3762306,85,90318.0,446766.0,-356448.0,243447.0,34500.0,24510.0,302115.0,24219.0,48606.0,194283.0,160954.0,68796.0,24221.0,34377.0,378966.0,156422.0,36693.0,5658.0,32620.0,39188.0,98377.0,44902.0,38881.0,21255.0,10855.0,53458.0,Dibër,SUR,2011.0,5696.75455,301.0357351,Albania
Albania,30,77971,11392,11684,820,22,7,9,49,1,4,18,13,10,15,14,19,28,14,6,19,33,28,20,16,27,85,45,11392,527548,46,5838.0,52889.0,-47051.0,8117.0,1778.0,2043.0,17997.0,302.0,1688.0,5885.0,3279.0,2462.0,3942.0,3583.0,3822.0,7159.0,3757.0,1564.0,5458.0,6185.0,7887.0,5173.0,4511.0,7154.0,16414.0,14112.0,Durrës,SYR,2011.0,155.8983513,15.64734475,Albania
Albania,50,77971,9345,7543,820,21,6,7,42,1,4,15,9,9,13,12,14,24,12,5,16,24,19,17,14,21,74,40,9345,472443,51,5217.0,42069.0,-36852.0,7810.0,1639.0,1766.0,16916.0,185.0,1637.0,5321.0,2703.0,2246.0,3660.0,3178.0,3239.0,6546.0,3345.0,1402.0,4756.0,4944.0,5958.0,4732.0,3999.0,5839.0,15048.0,13131.0,Durrës,TCA,2011.0,14.59910543,0.071553772,Albania
Albania,75,77971,5941,2436,820,16,3,4,29,1,3,11,5,5,10,5,6,16,7,2,7,12,10,11,10,12,54,29,5941,335398,56,3775.0,25560.0,-21785.0,6525.0,915.0,1240.0,13706.0,140.0,1309.0,4362.0,1671.0,1603.0,2989.0,1631.0,1850.0,4847.0,2101.0,521.0,2767.0,2865.0,3593.0,3270.0,3173.0,3919.0,11465.0,10365.0,Durrës,TCD,2011.0,920.0001788,0.151441301,Albania
Albania,30,316736,77432,70211,1410,221,182,25,322,42,106,175,450,168,66,135,371,92,163,42,131,118,194,119,131,137,133,288,77432,4985638,64,76469.0,613518.0,-537049.0,92115.0,75186.0,6228.0,140937.0,20268.0,44595.0,65205.0,184349.0,86823.0,35600.0,45570.0,125160.0,34250.0,84991.0,21861.0,67231.0,52059.0,98504.0,71012.0,81766.0,79398.0,76681.0,169004.0,Elbasan,TTO,2011.0,374.7194797,3.631171725,Albania
Albania,50,316736,62558,50176,1410,206,180,24,304,40,104,167,433,164,64,117,331,81,154,39,118,101,181,116,126,124,126,275,62558,4513952,72,74498.0,516457.0,-441959.0,89662.0,74853.0,5974.0,137470.0,19797.0,44099.0,64221.0,181733.0,86077.0,35200.0,43061.0,119264.0,32278.0,83095.0,21283.0,64691.0,49322.0,95238.0,70287.0,80505.0,75579.0,74885.0,164868.0,Elbasan,TUN,2011.0,2203.890028,1290.805261,Albania
Albania,75,316736,42090,19365,1410,174,171,16,246,35,92,142,381,151,61,87,263,58,135,35,103,80,151,107,113,103,107,238,42090,3495506,83,67926.0,367895.0,-299969.0,81205.0,72119.0,4539.0,120776.0,18228.0,40942.0,59665.0,168737.0,82252.0,34334.0,37030.0,104848.0,26640.0,76628.0,20104.0,60278.0,44572.0,85218.0,66561.0,74930.0,66729.0,67955.0,148016.0,Elbasan,TUR,2011.0,23887.92723,1868.114265,Albania
Albania,30,187590,11528,14462,956,88,1,7,32,5,11,24,31,9,9,21,45,12,49,9,50,51,50,27,47,107,32,271,11528,552091,48,10135.0,44636.0,-34500.0,24694.0,351.0,1778.0,8192.0,1211.0,2816.0,5368.0,6574.0,2498.0,2178.0,3917.0,11125.0,2483.0,9552.0,1583.0,15592.0,8689.0,12261.0,7015.0,16995.0,27002.0,5964.0,55276.0,Fier,URY,2011.0,28001.41284,348.010867,Albania
Albania,50,187590,8912,10221,956,77,1,5,29,3,10,21,28,8,7,18,39,9,45,6,42,38,40,21,34,83,22,207,8912,471440,53,8710.0,35066.0,-26356.0,22741.0,341.0,1536.0,7781.0,897.0,2505.0,4937.0,6126.0,2288.0,1832.0,3560.0,9790.0,2060.0,8765.0,1220.0,14228.0,7192.0,10332.0,5952.0,13693.0,22410.0,4629.0,45506.0,Fier,USA,2011.0,1663692.304,247477.3632,Albania
Albania,75,187590,5232,5164,956,59,1,3,23,1,6,11,23,5,4,11,27,7,26,4,29,22,24,13,24,39,9,118,5232,305627,58,5914.0,20423.0,-14510.0,18500.0,308.0,1081.0,6467.0,493.0,1554.0,2761.0,4937.0,1674.0,1044.0,2237.0,7498.0,1610.0,5587.0,881.0,10518.0,4492.0,6538.0,3814.0,10628.0,12361.0,2398.0,28633.0,Fier,UZB,2011.0,33.41626008,1.162223556,Albania
Albania,30,289766,52336,46795,1075,175,95,44,175,105,56,127,182,75,55,86,162,111,25,14,43,83,51,30,27,72,46,29,52336,2847888,54,23800.0,289558.0,-265758.0,50814.0,31031.0,10373.0,58864.0,34257.0,17878.0,36323.0,59842.0,27511.0,17306.0,14143.0,36264.0,29914.0,7089.0,4192.0,13624.0,16366.0,16521.0,10399.0,9106.0,17372.0,15782.0,12430.0,Gjirokastër,VUT,2011.0,607.1044173,0.661624375,Albania
Albania,50,289766,41975,32071,1075,166,90,37,160,98,52,114,167,71,52,61,122,86,20,12,36,58,44,25,20,58,38,27,41975,2508207,60,21934.0,235672.0,-213739.0,49054.0,29878.0,9521.0,55958.0,32950.0,17080.0,33992.0,56851.0,26362.0,16660.0,11266.0,30528.0,24472.0,5949.0,3838.0,12166.0,13536.0,15060.0,9450.0,7811.0,15693.0,14481.0,11918.0,Gjirokastër,XAD,2011.0,1.080833818,0.0,Albania
Albania,75,289766,28271,11579,1075,131,76,24,133,82,43,88,143,57,42,40,84,58,14,8,23,36,32,19,15,41,26,22,28271,1876143,66,18125.0,160413.0,-142288.0,40869.0,26481.0,7218.0,49099.0,29103.0,14721.0,28033.0,50361.0,22168.0,14338.0,7806.0,23506.0,16948.0,4451.0,2640.0,8563.0,9822.0,11831.0,8093.0,6487.0,12607.0,11649.0,10072.0,Gjirokastër,XCA,2011.0,208.1169333,63.99494293,Albania
Albania,30,372261,78182,63335,1308,420,241,49,579,55,232,1189,2325,259,157,65,504,152,116,35,92,141,134,51,65,87,66,112,78182,5290401,68,116456.0,717676.0,-601220.0,120766.0,94934.0,17508.0,271183.0,25122.0,113547.0,354031.0,771865.0,123948.0,79782.0,33230.0,202100.0,55326.0,58352.0,16138.0,40847.0,59052.0,51959.0,21228.0,30434.0,38689.0,33608.0,64842.0,Korçë,ABW,2012.0,0.150324923,0.075162462,Albania
Albania,50,372261,64341,45907,1308,389,238,45,553,52,225,1159,2184,247,150,63,472,135,105,30,85,125,121,39,51,67,61,104,64341,4790009,74,112800.0,592704.0,-479903.0,116865.0,94319.0,16851.0,264934.0,24395.0,111780.0,349590.0,750119.0,120843.0,78026.0,32738.0,195358.0,52137.0,56045.0,15025.0,39186.0,55328.0,48773.0,18814.0,26381.0,32816.0,32430.0,61656.0,Korçë,AFG,2012.0,39.30761566,21.88337256,Albania
Albania,75,372261,43361,17434,1308,263,216,36,493,47,201,1017,1797,200,129,57,399,116,87,23,70,94,91,27,38,46,51,84,43361,3681210,85,100105.0,401776.0,-301671.0,94195.0,89236.0,14896.0,244343.0,22654.0,103117.0,321264.0,661404.0,104822.0,70120.0,30815.0,173457.0,46215.0,49545.0,12523.0,34306.0,44920.0,39623.0,15647.0,21139.0,25098.0,29495.0,53575.0,Korçë,AGO,2012.0,180754.8207,429.7147653,Albania
Albania,30,240895,70601,61443,1849,236,19,13,113,34,29,661,359,25,19,27,324,213,41,3,24,9,16,11,65,37,225,74,70601,4789045,68,38571.0,721456.0,-682885.0,86786.0,7565.0,4476.0,47437.0,15657.0,12563.0,159448.0,103744.0,12753.0,9428.0,9839.0,119341.0,85599.0,19818.0,1550.0,6831.0,4275.0,9226.0,5017.0,22882.0,13232.0,85226.0,44438.0,Kukës,ARG,2012.0,478177.9106,34480.99152,Albania
Albania,50,240895,59963,48374,1849,223,19,12,108,32,27,607,319,24,17,23,290,191,37,3,18,8,15,10,58,26,186,61,59963,4448313,74,36417.0,620430.0,-584013.0,84545.0,7484.0,4412.0,46523.0,15247.0,11927.0,153673.0,97709.0,12396.0,9002.0,9374.0,113622.0,80014.0,18873.0,1550.0,6005.0,3915.0,9015.0,4757.0,21535.0,10924.0,74812.0,40270.0,Kukës,ARM,2012.0,197.6781764,27.92881056,Albania
Albania,75,240895,42079,24307,1849,175,16,10,88,26,20,430,237,21,11,15,223,147,29,3,10,5,11,7,39,13,115,49,42079,3550544,84,30033.0,446747.0,-416714.0,72835.0,6755.0,4051.0,41337.0,13321.0,10006.0,126054.0,80810.0,11340.0,6670.0,7182.0,96244.0,67326.0,15808.0,1534.0,4555.0,2931.0,7707.0,4156.0,16764.0,7208.0,51804.0,34357.0,Kukës,ATG,2012.0,33.34539067,0.441555761,Albania
Albania,30,166503,51793,47776,755,340,54,30,193,35,85,523,308,213,49,181,809,305,56,12,57,145,385,145,240,310,467,723,51793,2844360,55,78822.0,277398.0,-198577.0,135128.0,19419.0,8602.0,82100.0,12536.0,32741.0,165238.0,99632.0,69385.0,15926.0,54136.0,320910.0,90803.0,20501.0,4430.0,19200.0,31136.0,111452.0,45504.0,68210.0,105728.0,118823.0,181358.0,Lezhë,BEN,2012.0,2865.411755,7.866481819,Albania
Albania,50,166503,41606,31127,755,316,46,26,178,31,75,488,264,193,42,153,729,262,46,11,49,114,338,123,193,261,389,664,41606,2540345,61,73516.0,220433.0,-146916.0,130666.0,18251.0,8226.0,79061.0,11909.0,31055.0,159426.0,90685.0,65869.0,14834.0,48939.0,305633.0,82271.0,18322.0,4110.0,17669.0,25981.0,102153.0,40768.0,59099.0,95359.0,108122.0,172466.0,Lezhë,BES,2012.0,3.222078491,0.300887345,Albania
Albania,75,166503,27580,11029,755,239,33,18,125,22,52,373,190,124,27,107,544,173,31,8,32,66,224,80,119,188,238,486,27580,1878561,68,56791.0,140750.0,-83959.0,109320.0,14879.0,6780.0,62496.0,9569.0,24583.0,134933.0,69977.0,46922.0,11193.0,38747.0,254268.0,59205.0,13454.0,3150.0,12856.0,16291.0,71019.0,27774.0,39954.0,72741.0,74834.0,131253.0,Lezhë,BFA,2012.0,0.377733864,0.0,Albania
Albania,30,350539,110103,101500,2455,896,62,127,580,189,180,1420,801,163,63,250,1455,696,287,36,52,125,153,242,147,178,459,590,110103,7746361,70,159951.0,1025797.0,-865845.0,356755.0,25394.0,53314.0,253297.0,91823.0,92223.0,467230.0,262197.0,87233.0,33576.0,88631.0,618630.0,275810.0,131587.0,21463.0,25901.0,45131.0,76426.0,121467.0,74447.0,81589.0,144705.0,250053.0,Shkodër,BLR,2012.0,39591.09205,949.574217,Albania
Albania,50,350539,93437,77486,2455,799,54,116,524,179,173,1334,750,160,61,230,1327,648,270,35,47,100,144,229,135,157,413,563,93437,7172995,77,154225.0,884407.0,-730182.0,339938.0,24084.0,51946.0,242074.0,89513.0,90784.0,456891.0,253572.0,86460.0,33065.0,86162.0,594288.0,264272.0,126825.0,21204.0,24467.0,41471.0,73986.0,118386.0,71709.0,76898.0,136635.0,242556.0,Shkodër,BLZ,2012.0,11527.9676,1092.623936,Albania
Albania,75,350539,66458,42408,2455,590,40,99,407,140,154,1106,618,147,57,197,1039,519,228,33,35,76,117,183,106,120,289,466,66458,5777896,87,133899.0,641624.0,-507725.0,279364.0,20011.0,47673.0,204339.0,75161.0,85252.0,412181.0,220909.0,82173.0,31692.0,80074.0,508897.0,224392.0,112639.0,20409.0,20263.0,36694.0,64882.0,101976.0,64003.0,66402.0,109244.0,211054.0,Shkodër,BMU,2012.0,0.587705303,0.0,Albania
Albania,30,163689,33367,33165,920,48,29,17,52,14,30,55,31,64,30,48,204,103,46,21,43,133,151,113,35,43,62,36,33367,1952291,59,20984.0,224941.0,-203958.0,19521.0,11149.0,3877.0,22556.0,5784.0,12577.0,22551.0,14535.0,31551.0,11531.0,16346.0,70241.0,37214.0,15550.0,5899.0,12588.0,34063.0,43086.0,36173.0,12517.0,12180.0,18381.0,12754.0,Tiranë,BWA,2012.0,15.78723676,0.430660366,Albania
Albania,50,163689,28279,23855,920,46,28,14,48,12,27,48,28,59,24,40,182,93,40,17,36,109,134,99,29,31,47,28,28279,1806447,64,19459.0,197167.0,-177708.0,19097.0,10882.0,3368.0,21901.0,5501.0,12010.0,21361.0,13958.0,30437.0,10498.0,15122.0,66136.0,35318.0,14270.0,5244.0,11241.0,30239.0,40109.0,33258.0,11026.0,10065.0,15398.0,11117.0,Tiranë,CAF,2012.0,57313.88907,472.1612131,Albania
Albania,75,163689,19206,9972,920,41,25,9,41,10,22,40,24,51,15,30,130,68,27,11,21,71,100,65,20,20,27,18,19206,1399228,73,15675.0,142439.0,-126764.0,17826.0,10161.0,2462.0,19581.0,5054.0,10690.0,19380.0,12808.0,28275.0,7994.0,12706.0,52214.0,28881.0,10706.0,3506.0,7215.0,21098.0,32052.0,23900.0,8463.0,7273.0,10422.0,7859.0,Tiranë,CAN,2012.0,2545494.224,1493244.535,Albania
Albania,30,264589,35543,34949,2414,477,63,161,209,122,76,246,197,175,97,228,277,151,65,38,264,263,320,163,179,500,320,74,35543,1965308,55,50916.0,161798.0,-110882.0,144189.0,17824.0,30778.0,60716.0,31770.0,24411.0,56576.0,48196.0,59589.0,26292.0,43656.0,67221.0,37231.0,17976.0,10359.0,53354.0,45655.0,96484.0,33753.0,45634.0,95628.0,99246.0,24534.0,Vlorë,COD,2012.0,630999.5512,4690.695421,Albania
Albania,50,264589,27859,24091,2414,430,52,130,182,101,68,214,169,154,85,193,230,119,52,30,172,200,264,125,138,388,248,58,27859,1710523,61,44949.0,128780.0,-83832.0,137099.0,15886.0,27039.0,55943.0,28577.0,22960.0,52030.0,43733.0,55040.0,23854.0,38887.0,60715.0,31881.0,15789.0,8785.0,40894.0,38250.0,83809.0,28019.0,39154.0,81224.0,82952.0,21302.0,Vlorë,COG,2012.0,32143.61737,601.4454499,Albania
Albania,75,264589,18629,11252,2414,331,37,79,135,61,53,152,121,114,63,139,172,80,35,19,75,133,177,88,99,256,161,37,18629,1271565,68,33909.0,88963.0,-55054.0,115231.0,12243.0,18770.0,44127.0,19596.0,19069.0,40948.0,33527.0,43144.0,18667.0,29366.0,48483.0,22908.0,11872.0,5998.0,23095.0,27359.0,59406.0,20891.0,30532.0,59005.0,60274.0,15406.0,Vlorë,COL,2012.0,227707.0451,10631.073,Albania
Algeria,30,43149580,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,6.0,-6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Adrar,CYM,2012.0,9.227671763,0.580173019,Algeria
Algeria,50,43149580,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,6.0,-6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Adrar,CYP,2012.0,54.30803394,32.68904696,Algeria
Algeria,75,43149580,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,6.0,-6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Adrar,CZE,2012.0,14006.25281,204.023086,Algeria
Algeria,30,76916,3234,2699,499,8,4,3,9,10,7,18,15,21,9,5,8,5,14,7,12,3,7,18,9,8,22,21,3234,137956,43,3065.0,19060.0,-15994.0,1885.0,993.0,817.0,2155.0,2438.0,1631.0,4595.0,3957.0,5788.0,2382.0,1384.0,2047.0,1223.0,3774.0,1998.0,3487.0,954.0,1901.0,4962.0,2816.0,2964.0,8197.0,8154.0,Alger,ECU,2012.0,74205.9655,5633.402666,Algeria
Algeria,50,76916,1962,1447,499,6,3,3,7,7,5,13,12,17,7,4,5,3,7,3,6,1,2,9,5,5,16,11,1962,92861,47,2111.0,12233.0,-10123.0,1605.0,682.0,704.0,1760.0,1904.0,1176.0,3657.0,3222.0,5093.0,1991.0,1171.0,1572.0,764.0,2191.0,809.0,1907.0,310.0,599.0,2645.0,1636.0,2004.0,6123.0,5017.0,Alger,EGY,2012.0,438.8534281,112.2416344,Algeria
Algeria,75,76916,715,666,499,4,1,2,3,2,1,4,4,7,4,2,2,1,2,0,2,0,0,1,2,3,7,2,715,39297,55,850.0,5428.0,-4578.0,1223.0,203.0,514.0,762.0,483.0,220.0,1305.0,1237.0,2179.0,1200.0,713.0,708.0,255.0,844.0,158.0,522.0,93.0,112.0,406.0,954.0,1144.0,2954.0,1370.0,Alger,ERI,2012.0,0.0,0.0,Algeria
Algeria,30,141162,50383,49031,1269,65,93,292,88,121,361,169,212,667,262,375,1689,746,462,233,432,3247,323,183,126,2492,123,53,50383,2663472,53,137034.0,187659.0,-50625.0,14863.0,19097.0,58360.0,19006.0,31791.0,69536.0,40816.0,50792.0,158207.0,65156.0,99966.0,337426.0,188876.0,101167.0,57242.0,104445.0,689541.0,89859.0,54155.0,27680.0,819499.0,38916.0,15383.0,Annaba,FRA,2012.0,67302.61843,2592.017526,Algeria
Algeria,50,141162,40126,35887,1269,46,69,246,75,110,295,114,171,610,203,313,1435,552,269,166,262,2613,250,114,78,2129,83,29,40126,2256126,56,115086.0,149837.0,-34751.0,11313.0,14120.0,51334.0,16545.0,29655.0,59474.0,29764.0,41396.0,146495.0,52231.0,85587.0,300148.0,148184.0,64904.0,44147.0,66853.0,586102.0,72013.0,35676.0,19007.0,734726.0,27755.0,9556.0,Annaba,GAB,2012.0,17476.08258,96.97488893,Algeria
Algeria,75,141162,23183,18842,1269,25,37,150,49,82,164,57,102,483,113,175,1011,247,96,82,94,1538,145,48,22,1345,49,10,23183,1412638,61,74584.0,87015.0,-12431.0,7277.0,8035.0,33301.0,11490.0,23635.0,35733.0,16458.0,24250.0,117546.0,31085.0,50299.0,228942.0,76896.0,27081.0,24634.0,27300.0,380441.0,43974.0,17092.0,7294.0,501221.0,17373.0,4079.0,Annaba,GBR,2012.0,35668.66625,2411.179144,Algeria
Algeria,30,454705,62056,24668,2695,704,264,649,785,447,815,703,1158,1485,228,1276,467,102,200,194,71,388,321,96,469,183,110,31,62056,2976354,48,133675.0,238398.0,-104724.0,155198.0,65675.0,184006.0,203413.0,108866.0,216422.0,188103.0,309033.0,397755.0,53308.0,361796.0,129696.0,28097.0,61807.0,64021.0,20788.0,126121.0,112908.0,31149.0,147833.0,62132.0,39604.0,6785.0,Aïn Defla,GLP,2012.0,294.8224137,1.553373164,Algeria
Algeria,50,454705,37531,13901,2695,455,174,486,491,317,649,539,890,1166,183,1036,343,59,153,158,50,314,259,64,362,126,56,13,37531,1922131,51,106406.0,141439.0,-35034.0,108230.0,47900.0,146954.0,138206.0,82850.0,182989.0,153392.0,249727.0,332915.0,44459.0,306517.0,99652.0,17815.0,50511.0,54886.0,15907.0,107859.0,94743.0,21619.0,119796.0,45390.0,21967.0,3043.0,Aïn Defla,GMB,2012.0,40.69027207,0.0,Algeria
Algeria,75,454705,16477,6883,2695,153,68,239,166,100,335,271,410,574,94,613,158,23,79,93,21,144,132,31,165,57,21,3,16477,925947,56,55211.0,64947.0,-9736.0,36952.0,19694.0,74859.0,52177.0,30403.0,104908.0,81754.0,123999.0,182687.0,25118.0,193900.0,50115.0,8424.0,28981.0,34914.0,7581.0,55597.0,52478.0,11235.0,60227.0,22869.0,9873.0,1107.0,Aïn Defla,GNB,2012.0,3511.449476,1.355564269,Algeria
Algeria,30,240162,1897,681,788,7,2,2,4,3,1,2,5,3,0,0,11,4,5,0,2,1,0,4,0,4,0,2,1897,79234,42,532.0,8303.0,-7771.0,1081.0,274.0,262.0,603.0,510.0,230.0,416.0,775.0,507.0,55.0,28.0,2003.0,403.0,1023.0,77.0,508.0,393.0,74.0,813.0,37.0,1407.0,21.0,730.0,Aïn Témouchent,GUY,2012.0,13111.82809,981.38646,Algeria
Algeria,50,240162,826,191,788,5,1,1,2,1,1,1,4,2,0,0,2,0,0,0,0,0,0,3,0,1,0,1,826,38061,46,237.0,4202.0,-3965.0,791.0,243.0,167.0,377.0,138.0,96.0,310.0,691.0,294.0,24.0,22.0,333.0,29.0,72.0,30.0,60.0,86.0,26.0,601.0,0.0,611.0,21.0,416.0,Aïn Témouchent,HKG,2012.0,14.18819789,0.998260309,Algeria
Algeria,75,240162,195,42,788,2,1,1,1,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,195,9969,51,92.0,1802.0,-1710.0,313.0,146.0,131.0,154.0,32.0,32.0,91.0,360.0,144.0,24.0,0.0,47.0,23.0,0.0,0.0,0.0,0.0,0.0,82.0,0.0,258.0,21.0,257.0,Aïn Témouchent,HND,2012.0,32305.4952,1897.3761,Algeria
Algeria,30,1213853,15320,1921,3578,29,11,399,109,42,102,103,357,419,4,71,27,6,1,1,1,1,8,4,0,0,0,0,15320,919795,60,18077.0,71096.0,-53019.0,6879.0,3229.0,112674.0,37154.0,7448.0,36086.0,15459.0,53118.0,105711.0,772.0,22870.0,8637.0,1580.0,315.0,266.0,198.0,730.0,1823.0,722.0,20.0,0.0,0.0,75.0,Batna,IND,2012.0,95068.55768,2611.868242,Algeria
Algeria,50,1213853,9195,570,3578,12,8,313,91,30,88,42,181,235,2,56,21,4,1,1,0,1,5,4,0,0,0,0,9195,545107,59,13054.0,44346.0,-31292.0,3016.0,2605.0,93225.0,33474.0,5343.0,32577.0,6493.0,26705.0,66173.0,313.0,19217.0,7280.0,1157.0,170.0,266.0,61.0,273.0,1183.0,660.0,10.0,0.0,0.0,44.0,Batna,IRL,2012.0,5825.902588,215.0633948,Algeria
Algeria,75,1213853,3942,86,3578,2,5,192,67,15,64,7,34,82,0,33,14,2,0,1,0,0,1,3,0,0,0,0,3942,230839,59,7273.0,20788.0,-13515.0,360.0,1658.0,60051.0,25802.0,2570.0,24810.0,1301.0,4982.0,26614.0,19.0,11944.0,5401.0,662.0,85.0,208.0,0.0,91.0,157.0,512.0,0.0,0.0,0.0,44.0,Batna,IRN,2012.0,407.3912739,65.17711793,Algeria
Algeria,30,2150052,35,0,3190,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,1579,46,4.0,4749.0,-4745.0,42.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Biskra,JOR,2012.0,0.130553283,0.0,Algeria
Algeria,50,2150052,1,0,3190,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,23,40,0.0,4620.0,-4620.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Biskra,JPN,2012.0,45672.06361,1223.156502,Algeria
Algeria,75,2150052,0,0,3190,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,4618.0,-4618.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Biskra,KAZ,2012.0,3741.514268,744.2469102,Algeria
Algeria,30,148184,48389,31954,2468,378,27,62,243,87,92,845,1028,269,60,197,366,73,197,135,144,185,109,138,164,198,149,317,48389,2354511,49,72890.0,211324.0,-138435.0,103554.0,6439.0,17596.0,66345.0,19355.0,26158.0,239688.0,323752.0,82284.0,18090.0,63906.0,115360.0,21662.0,59968.0,39897.0,46716.0,56380.0,36086.0,44865.0,51268.0,69529.0,54313.0,113255.0,Blida,LAO,2012.0,147537.1235,622.2038227,Algeria
Algeria,50,148184,37993,15383,2468,286,20,55,212,75,73,713,921,231,52,180,316,48,129,98,112,133,88,98,119,168,117,224,37993,1970242,52,62156.0,164492.0,-102336.0,86553.0,5131.0,16134.0,59891.0,16749.0,22021.0,209779.0,297668.0,73283.0,16254.0,59779.0,103265.0,15470.0,42899.0,30224.0,38378.0,43146.0,30190.0,33901.0,38903.0,60663.0,44366.0,84940.0,Blida,LBN,2012.0,170.0053752,20.5118235,Algeria
Algeria,75,148184,22353,8408,2468,166,6,39,111,45,42,388,631,129,35,130,209,22,50,39,53,64,53,45,53,106,53,83,22353,1256774,56,37592.0,96121.0,-58530.0,56441.0,1873.0,12002.0,32775.0,9867.0,13252.0,119609.0,210329.0,43296.0,11351.0,44285.0,71269.0,8085.0,20074.0,13270.0,20884.0,22683.0,19588.0,16955.0,17675.0,39944.0,21887.0,37214.0,Blida,LBR,2012.0,72113.9399,308.6366016,Algeria
Algeria,30,393530,9862,1198,1912,1,29,6,9,0,68,13,48,544,90,93,102,1,2,1,1,1,1,4,54,6,2,8,9862,535752,54,7179.0,44952.0,-37772.0,306.0,4413.0,1143.0,1836.0,97.0,15321.0,2142.0,8996.0,74075.0,12004.0,12473.0,14302.0,277.0,333.0,309.0,260.0,191.0,168.0,719.0,12030.0,1054.0,555.0,2121.0,Bordj Bou Arréridj,LTU,2012.0,17602.90056,125.8431784,Algeria
Algeria,50,393530,4352,266,1912,1,18,2,6,0,36,4,30,342,52,73,84,1,1,1,1,0,1,4,36,5,1,4,4352,237075,54,4664.0,21214.0,-16550.0,177.0,2829.0,473.0,1097.0,15.0,9093.0,766.0,5860.0,46766.0,6901.0,9696.0,11753.0,161.0,132.0,244.0,196.0,68.0,128.0,648.0,7793.0,903.0,263.0,1310.0,Bordj Bou Arréridj,LUX,2012.0,444.2894553,5.538609324,Algeria
Algeria,75,393530,1831,37,1912,0,7,0,3,0,10,1,4,129,12,51,47,0,0,0,0,0,0,3,19,3,1,0,1831,101489,55,1913.0,10702.0,-8789.0,7.0,1126.0,34.0,631.0,0.0,2449.0,173.0,1025.0,17921.0,1656.0,6634.0,6613.0,75.0,60.0,97.0,93.0,50.0,77.0,468.0,3951.0,574.0,159.0,127.0,Bordj Bou Arréridj,LVA,2012.0,34285.45823,317.7602261,Algeria
Algeria,30,446828,35742,14578,3995,64,39,32,110,158,404,73,281,191,66,34,448,69,105,105,58,103,70,165,103,288,197,1728,35742,1815907,51,65400.0,164328.0,-98927.0,17000.0,7171.0,8467.0,30195.0,30498.0,89429.0,17556.0,62974.0,46373.0,19047.0,10423.0,95436.0,17611.0,27924.0,34360.0,16727.0,27997.0,23315.0,55199.0,30307.0,90316.0,67801.0,678083.0,Bouira,MDV,2012.0,2.450743201,0.0,Algeria
