country,iso,tree_cover_gain_1000_ha,umd_tree_cover_extent_2000__ha
Malta,MLT,0.011267,32334.7907792886
Myanmar,MMR,636.627027,66929667.32947999
Montenegro,MNE,9.784049,1333523.2587344432
Mongolia,MNG,78.600816,156624744.50499305
Mozambique,MOZ,583.188462,78729716.65135534
Mauritania,MRT,0.711416,104117150.6411722
Montserrat,MSR,0.249901,10061.822079147714
Martinique,MTQ,0.6781,111787.9551722737
Mauritius,MUS,0.0,191366.76446961123
Malawi,MWI,41.602139,11802885.394903284
Malaysia,MYS,1004.94463,32938348.759835158
Mayotte,MYT,0.249091,39165.17965126975
Namibia,NAM,15.114368,82385622.18475385
New Caledonia,NCL,1.854906,1882559.4074686528
Niger,NER,5.781694,118366970.16952196
Norfolk Island,NFK,0.0,4062.5988748327054
Nigeria,NGA,927.800639,90840998.02039911
Nicaragua,NIC,142.444731,12821978.476095224
Netherlands,NLD,60.819454,3766566.364398997
Norway,NOR,476.523097,32512221.025825925
Nepal,NPL,174.007648,14766249.544407437
Nauru,NRU,0.0,2215.23352633937
New Zealand,NZL,434.874567,26716575.124389168
Oman,OMN,1.548269,30933274.086451232
Pakistan,PAK,133.480852,87417630.59556703
Panama,PAN,84.108662,7510419.904453533
Peru,PER,430.186262,129281868.5175954
Philippines,PHL,172.161297,29585658.16289541
Palau,PLW,0.135284,48743.205380788
Papua New Guinea,PNG,266.1449,46363061.21418392
Poland,POL,892.0723,31239917.800095525
Puerto Rico,PRI,7.140673,897037.2746447416
North Korea,PRK,288.491653,12275519.138587365
Portugal,PRT,168.606877,8955505.678182833
Paraguay,PRY,642.487582,39958667.52153218
Palestine,PSE,1.697129,621996.6833201279
Qatar,QAT,0.037963,1162493.7996266396
Reunion,REU,0.0,251271.10501471144
Romania,ROU,223.889811,23833793.638779256
Russia,RUS,37220.539179,1689455451.8547776
Rwanda,RWA,16.061385,2527769.9121826226
Saudi Arabia,SAU,7.598972,191598433.63238648
Sudan,SDN,216.597574,187213491.71256348
Senegal,SEN,77.187314,19688982.712595154
Singapore,SGP,1.97697,69703.6960587837
Svalbard and Jan Mayen Islands,SJM,0.0,5442472.373677427
Solomon Islands,SLB,4.916633,2853324.0058482355
Sierra Leone,SLE,102.136732,7260135.88614752
El Salvador,SLV,14.647376,2042272.8589492647
San Marino,SMR,0.019123,6122.35296018708
Somalia,SOM,4.188832,63353849.52120363
St. Pierre and Miquelon,SPM,0.031722,22663.416771436205
Serbia,SRB,76.226611,7823140.491428328
South Sudan,SSD,1082.860742,62809870.69840365
Sao Tome and Principe,STP,0.0,100217.98772540753
Suriname,SUR,23.723909,14642556.865292275
Slovakia,SVK,35.796772,4909915.804720573
Slovenia,SVN,7.767574,1998090.78549307
Sweden,SWE,1671.285358,45004558.106551215
Eswatini,SWZ,23.45506,1738333.063014421
Sint Maarten,SXM,0.01648,3801.3875152178
Seychelles,SYC,0.001442,20267.93208728905
Syria,SYR,5.710703,18691798.392134495
Turks and Caicos Islands,TCA,0.063767,99152.01584845889
Chad,TCD,256.621778,126995174.501081
Togo,TGO,47.915665,5699519.202016793
Thailand,THA,1842.370577,51405448.594278336
Tajikistan,TJK,19.711959,14211295.405720368
Turkmenistan,TKM,0.419047,48959209.55421509
Timor-Leste,TLS,11.133815,1491565.3923369884
Trinidad and Tobago,TTO,3.320425,515899.59454438766
Tunisia,TUN,10.133395,15486458.270953031
Türkiye,TUR,473.795005,78070340.89001474
Tuvalu,TUV,0.0,49.90083498861268
Taiwan,TWN,29.314536,3640651.397324108
Tanzania,TZA,557.235924,94057690.73100685
Uganda,UGA,185.026624,24143952.939303488
Ukraine,UKR,926.362405,60136109.70821625
United States Minor Outlying Islands,UMI,0.004459,541.6797628049934
Uruguay,URY,654.495298,17746574.344347913
United States,USA,13986.699785,947295610.2482549
Uzbekistan,UZB,43.149058,44755388.10019691
Vatican,VAT,5.8e-05,52.87803968403631
St. Vincent and the Grenadines,VCT,0.12682,39788.97162862954
Venezuela,VEN,491.3574,91249225.52623253
British Virgin Islands,VGB,0.023897,16932.04449944635
United States Virgin Islands,VIR,0.209241,36213.915726817686
Vietnam,VNM,1004.758625,32927599.94752574
Vanuatu,VUT,0.302553,1231886.1031564951
not found,XAD,0.042,23448.381322557772
not found,XCA,0.300243,37158133.71155809
not found,XCL,0.0,1008.6390983719288
not found,XKO,9.293196,1091976.4479459221
not found,XNC,1.628391,331406.9141576445
not found,XPI,0.0,1969.212716115984
not found,XSP,0.0,188.15293746538873
Yemen,YEM,7.046677,45220898.2913735
South Africa,ZAF,388.240896,121971018.80353452
Zambia,ZMB,768.156811,75049201.88692679
Zimbabwe,ZWE,151.989068,39068111.13498098
